PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
1950204,1953352,0,7574,7419,420863727.4,389575810.0,10360,1807109645,538853186.9,10786.2,7895.0,5110,4131651,49732.1,429627012.6,474410454.0,7,1807080906,540982358.3,18220.9,4480.0,3168,665632,45307.2,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1950204,1953352,0,20330,20290,375100126.5,384166463.5,19121,1833189777,416164479.7,373465.7,55365.5,4879,18839401,872024.0,375462058.1,384293359.0,173,1828987664,415636448.7,3343.0,3232.0,1856,115392,1957.0,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1950204,1953352,0,5120,5119,313768764.5,7018848.5,14140,1808075594,499171213.6,150284.8,11823.0,7103,8075354,271185.0,313675461.7,7005324.0,424,1807200262,498976465.0,4282.9,4160.0,3808,5472,424.2,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 10)]::operator ()() const::[lambda(c10::Half) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1950204,1952247,0,948,903,305524192.0,171691263.0,17393,1014141689,330847943.2,10690.7,8416.0,4298,182047,9857.3,320673151.2,261043788.0,76,1014015228,331699638.2,62321.9,24031.5,3456,376382,103764.2,cudaLaunchKernel,"void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<float>, std::array<char *, (unsigned long)3>>(int, T2, T3)"
1950204,1952247,0,16,16,284074584.4,264083849.0,47456238,987253058,222255831.7,290747.1,10701.0,5270,1131124,493891.1,281349739.0,261632664.0,44969207,984818778,222191767.6,2434098.3,2433072.5,2425712,2444624,7050.9,cudaLaunchKernel,"void at::native::<unnamed>::cunn_SoftMaxBackward<(int)4, c10::Half, float, float, at::native::<unnamed>::SoftMaxBackwardEpilogue>(T2 *, const T4 *, const T4 *, long)"
1950204,1953352,0,22724,22724,279654668.3,130957581.0,819234,1841665452,356521879.4,458812.4,150441.5,3427,19994672,820768.0,278990594.4,130781326.5,691102,1836528575,355653190.7,205261.5,104895.5,66208,942466,182912.7,cudaLaunchKernel,"void <unnamed>::qvq_v2_segment_grid_finalize_kernel<(int)4, (int)2, (int)16, (bool)0, __half, unsigned char>(const float *, const T5 *, const float *, const long *, const float *, const float *, const T6 *, const unsigned char *, long *, unsigned char *, float *, int, int, bool, bool)"
1950204,1953352,0,181792,181693,277921477.5,129691419.0,146328,1840741031,354279266.6,220029.4,5100.0,3217,23017852,550875.4,277116672.2,129463444.0,655,1836766857,353258101.5,735692.7,323935.5,132288,4318471,856422.4,cudaLaunchKernel,"void <unnamed>::qvq_v2_segment_grid_kernel<(int)4, (int)2, (int)16, (bool)1, (bool)0, __half, unsigned char>(const float *, const T6 *, const float *, const long *, const float *, const float *, float *, T7 *, unsigned char *, int, int, int, bool, bool)"
1950204,1953352,0,11478,11443,276765716.7,127893303.5,11851,1837330317,355323621.8,585205.6,249430.0,6373,17120997,851704.3,277022044.8,127945770.0,217,1833221112,354768575.5,3199.1,3296.0,1760,55776,1891.3,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
1950204,1953352,0,3014,3010,260239489.8,132634332.5,12481,495719663,216827413.6,15679.1,11797.5,8155,1284067,56286.0,260507515.8,132573787.0,248,495420927,216714979.5,62025.5,34975.5,2527,268001,71246.4,cudaLaunchKernel,"void gemmSN_NN_kernel<float, (int)256, (int)4, (int)2, (int)8, (int)4, (int)4, (bool)0, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)"
1950204,1952247,0,16,16,230823916.3,215784623.5,29884012,660758763,155245368.0,14003.4,12303.5,9508,27873,5447.2,224045452.1,209001652.5,23137289,654001859,155231279.6,6764460.8,6738006.0,6733589,6804660,33999.7,cudaLaunchKernel,"void at::native::<unnamed>::cunn_SoftMaxForward<(int)8, c10::Half, float, float, at::native::<unnamed>::SoftMaxForwardEpilogue>(T4 *, const T2 *, int)"
1950204,1953352,0,7668,7196,222326122.1,181431295.0,36166,460333048,141489342.7,16634.4,7344.0,5281,11841509,137624.5,235157072.8,189368177.5,1774,454340367,132778969.5,1628456.8,1228450.5,19200,6022575,1452540.5,cudaLaunchKernel,void cutlass::Kernel2<cutlass_80_simt_sgemm_grouped_128x128_8x4_align1>(T1::Params)
