Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:stage.process:model.layers.10.mlp.up_proj,PushPop,16639800225,16687995815,1,16639800225.0,16639800225.0,16639800225,16639800225,0.0,78043,78043.0,0.0,4985.0
:stage.process:model.layers.11.mlp.up_proj,PushPop,16635392698,16692424172,1,16635392698.0,16635392698.0,16635392698,16635392698,0.0,78043,78043.0,0.0,4985.0
:stage.process:model.layers.10.mlp.gate_proj,PushPop,16633908822,16712161016,1,16633908822.0,16633908822.0,16633908822,16633908822,0.0,78043,78043.0,0.0,4985.0
:stage.process:model.layers.1.mlp.gate_proj,PushPop,16601038896,16640789011,1,16601038896.0,16601038896.0,16601038896,16601038896,0.0,78043,78043.0,0.0,4985.0
:stage.process:model.layers.4.mlp.gate_proj,PushPop,16598369819,16641928903,1,16598369819.0,16598369819.0,16598369819,16598369819,0.0,78043,78043.0,0.0,4985.0
:stage.process:model.layers.7.mlp.gate_proj,PushPop,16583192714,16639781522,1,16583192714.0,16583192714.0,16583192714,16583192714,0.0,78043,78043.0,0.0,4985.0
:stage.process:model.layers.8.mlp.up_proj,PushPop,16581725466,16630140462,1,16581725466.0,16581725466.0,16581725466,16581725466,0.0,78043,78043.0,0.0,4985.0
:stage.process:model.layers.12.mlp.gate_proj,PushPop,16565309490,16615915519,1,16565309490.0,16565309490.0,16565309490,16565309490,0.0,78043,78043.0,0.0,4985.0
:stage.process:model.layers.3.mlp.up_proj,PushPop,16553594777,16622189103,1,16553594777.0,16553594777.0,16553594777,16553594777,0.0,78043,78043.0,0.0,4985.0
:stage.process:model.layers.2.mlp.gate_proj,PushPop,16537271410,16594887044,1,16537271410.0,16537271410.0,16537271410,16537271410,0.0,78043,78043.0,0.0,4985.0
:stage.process:model.layers.12.mlp.up_proj,PushPop,16523285212,16579623001,1,16523285212.0,16523285212.0,16523285212,16523285212,0.0,78043,78043.0,0.0,4985.0
:stage.process:model.layers.13.mlp.gate_proj,PushPop,16521627984,16576268429,1,16521627984.0,16521627984.0,16521627984,16521627984,0.0,78043,78043.0,0.0,4985.0
:stage.process:model.layers.15.mlp.gate_proj,PushPop,16515317663,16564354750,1,16515317663.0,16515317663.0,16515317663,16515317663,0.0,78043,78043.0,0.0,4985.0
:stage.process:model.layers.13.mlp.up_proj,PushPop,16514097317,16573306576,1,16514097317.0,16514097317.0,16514097317,16514097317,0.0,78043,78043.0,0.0,4985.0
:stage.process:model.layers.14.mlp.up_proj,PushPop,16505489957,16555878250,1,16505489957.0,16505489957.0,16505489957,16505489957,0.0,78043,78043.0,0.0,4985.0
:stage.process:model.layers.15.mlp.up_proj,PushPop,16492791938,16548618438,1,16492791938.0,16492791938.0,16492791938,16492791938,0.0,78043,78043.0,0.0,4985.0
:stage.process:model.layers.9.mlp.up_proj,PushPop,16486244733,16537774065,1,16486244733.0,16486244733.0,16486244733,16486244733,0.0,78043,78043.0,0.0,4985.0
:stage.process:model.layers.5.mlp.up_proj,PushPop,16484345541,16532552206,1,16484345541.0,16484345541.0,16484345541,16484345541,0.0,78043,78043.0,0.0,4985.0
:stage.process:model.layers.9.mlp.gate_proj,PushPop,16472427013,16523704569,1,16472427013.0,16472427013.0,16472427013,16472427013,0.0,78043,78043.0,0.0,4985.0
:stage.process:model.layers.5.mlp.gate_proj,PushPop,16472097214,16523526650,1,16472097214.0,16472097214.0,16472097214,16472097214,0.0,78043,78043.0,0.0,4985.0
:stage.process:model.layers.6.self_attn.k_proj,PushPop,7459351391,7475039865,1,7459351391.0,7459351391.0,7459351391,7459351391,0.0,58074,58074.0,0.0,1148.0
:stage.process:model.layers.0.self_attn.q_proj,PushPop,6271625741,6299693349,1,6271625741.0,6271625741.0,6271625741,6271625741,0.0,72813,72813.0,0.0,1532.0
:stage.process:model.layers.2.self_attn.o_proj,PushPop,5714641997,5736155206,1,5714641997.0,5714641997.0,5714641997,5714641997,0.0,70087,70087.0,0.0,1532.0
:stage.process:model.layers.15.self_attn.o_proj,PushPop,5576560001,5598934920,1,5576560001.0,5576560001.0,5576560001,5576560001,0.0,70087,70087.0,0.0,1532.0
:stage.process:model.layers.12.self_attn.q_proj,PushPop,5562678880,5587581588,1,5562678880.0,5562678880.0,5562678880,5562678880,0.0,70087,70087.0,0.0,1532.0
:stage.process:model.layers.4.self_attn.q_proj,PushPop,5555292869,5577680474,1,5555292869.0,5555292869.0,5555292869,5555292869,0.0,70087,70087.0,0.0,1532.0
