Range,Style,Total Proj Time (ns),Total Range Time (ns),Range Instances,Proj Avg (ns),Proj Med (ns),Proj Min (ns),Proj Max (ns),Proj StdDev (ns),Total GPU Ops,Avg GPU Ops,Avg Range Lvl,Avg Num Child
:stage.process:model.layers.0.mlp.gate_proj,PushPop,28003887596,28046152647,1,28003887596.0,28003887596.0,28003887596,28003887596,0.0,93325,93325.0,0.0,4985.0
:stage.process:model.layers.4.mlp.up_proj,PushPop,28000052489,28043050596,1,28000052489.0,28000052489.0,28000052489,28000052489,0.0,86935,86935.0,0.0,4985.0
:stage.process:model.layers.3.mlp.gate_proj,PushPop,27992666626,28056284052,1,27992666626.0,27992666626.0,27992666626,27992666626,0.0,86935,86935.0,0.0,4985.0
:stage.process:model.layers.10.mlp.gate_proj,PushPop,27990081885,28038767394,1,27990081885.0,27990081885.0,27990081885,27990081885,0.0,86935,86935.0,0.0,4985.0
:stage.process:model.layers.6.mlp.gate_proj,PushPop,27989032641,28033473636,1,27989032641.0,27989032641.0,27989032641,27989032641,0.0,86935,86935.0,0.0,4985.0
:stage.process:model.layers.14.mlp.gate_proj,PushPop,27981859042,28027057340,1,27981859042.0,27981859042.0,27981859042,27981859042,0.0,86935,86935.0,0.0,4985.0
:stage.process:model.layers.12.mlp.gate_proj,PushPop,27973742916,28017027999,1,27973742916.0,27973742916.0,27973742916,27973742916,0.0,86935,86935.0,0.0,4985.0
:stage.process:model.layers.5.mlp.gate_proj,PushPop,27973373100,28023233533,1,27973373100.0,27973373100.0,27973373100,27973373100,0.0,86935,86935.0,0.0,4985.0
:stage.process:model.layers.2.mlp.up_proj,PushPop,27962169097,28008432219,1,27962169097.0,27962169097.0,27962169097,27962169097,0.0,86935,86935.0,0.0,4985.0
:stage.process:model.layers.6.mlp.up_proj,PushPop,27960774700,28019546818,1,27960774700.0,27960774700.0,27960774700,27960774700,0.0,86935,86935.0,0.0,4985.0
:stage.process:model.layers.15.mlp.gate_proj,PushPop,27959701795,28006377664,1,27959701795.0,27959701795.0,27959701795,27959701795,0.0,86935,86935.0,0.0,4985.0
:stage.process:model.layers.8.mlp.up_proj,PushPop,27954683319,28004015813,1,27954683319.0,27954683319.0,27954683319,27954683319,0.0,86935,86935.0,0.0,4985.0
:stage.process:model.layers.2.mlp.gate_proj,PushPop,27939971320,27996686527,1,27939971320.0,27939971320.0,27939971320,27939971320,0.0,86935,86935.0,0.0,4985.0
:stage.process:model.layers.13.mlp.gate_proj,PushPop,27937145567,27988712071,1,27937145567.0,27937145567.0,27937145567,27937145567,0.0,86935,86935.0,0.0,4985.0
:stage.process:model.layers.11.mlp.gate_proj,PushPop,27927207774,27974563771,1,27927207774.0,27927207774.0,27927207774,27927207774,0.0,86935,86935.0,0.0,4985.0
:stage.process:model.layers.1.mlp.gate_proj,PushPop,27923571593,27974911373,1,27923571593.0,27923571593.0,27923571593,27923571593,0.0,86935,86935.0,0.0,4985.0
:stage.process:model.layers.3.mlp.up_proj,PushPop,27914015340,27959252204,1,27914015340.0,27914015340.0,27914015340,27914015340,0.0,86935,86935.0,0.0,4985.0
:stage.process:model.layers.11.mlp.up_proj,PushPop,27909454743,27958392595,1,27909454743.0,27909454743.0,27909454743,27909454743,0.0,86935,86935.0,0.0,4985.0
