Time (%),Total Time (ns),Count,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Operation
63.1,2607871404,72750,35847.0,2016.0,1120,252792451,1771160.5,[CUDA memcpy Device-to-Host]
32.3,1335713136,11842,112794.6,2720.0,1056,375710192,3850226.7,[CUDA memcpy Host-to-Device]
3.3,135626746,48520,2795.3,2112.0,1312,256544,8604.6,[CUDA memcpy Device-to-Device]
1.3,52342373,43564,1201.5,1120.0,1056,85185,484.1,[CUDA memset]
