PID,TID,DevId,Count,QCount,TAvg (ns),TMed (ns),TMin (ns),TMax (ns),TStdDev (ns),AAvg (ns),AMed (ns),AMin (ns),AMax (ns),AStdDev (ns),QAvg (ns),QMed (ns),QMin (ns),QMax (ns),QStdDev (ns),KAvg (ns),KMed (ns),KMin (ns),KMax (ns),KStdDev (ns),API Name,Kernel Name
1830235,1839482,0,2048,2048,1546525082.4,1596794392.0,31129116,1610911982,222897710.3,1837228.5,1998467.5,5751,15186467,701415.3,1544682318.1,1594871075.0,31113596,1608867598,222480142.7,5535.8,5536.0,5120,5888,98.5,cudaLaunchKernel,"void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsigned int)8>, unsigned int, (int)2, (int)128, (int)1, (int)16, (int)2>(char *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
1830235,1839482,0,2048,2048,1544645022.9,1594825074.5,30866373,1608856497,222474212.0,454635.4,507953.0,4980,6697271,210823.6,1544186554.7,1594330548.0,30839006,1608335108,222372111.4,3832.8,3808.0,3552,4096,76.6,cudaLaunchKernel,"void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsigned int)1>, unsigned int, (int)2, (int)128, (int)1, (int)16, (int)16>(char *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
1830235,1839482,0,2048,2048,1544142570.4,1594311264.0,30822626,1608329401,222366169.0,65241.6,10099.0,4790,94640171,2091140.1,1544072743.5,1594278366.5,30787204,1608312882,222567614.4,4585.4,4576.0,4192,4800,66.4,cudaLaunchKernel,"void at::native::<unnamed>::CatArrayBatchedCopy_vectorized<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)2, (int)128, (int)1, (int)16, (int)8>(char *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)"
1830235,1839482,0,7308,7304,1057766134.9,934736344.5,20512,1595766194,360270968.3,511407.0,15730.0,9297,9147049,856260.2,1057535810.1,934416700.0,495,1592914327,358716590.6,297757.6,230417.0,4512,808131,218986.3,cudaLaunchKernel,"void gemmSN_NN_kernel<float, (int)128, (int)2, (int)4, (int)8, (int)4, (int)4, (bool)0, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>>(cublasGemmSmallNParams<T9, T10, T11, T1>)"
1830235,1832319,0,6096,6075,969601669.2,78526025.5,14774,6628242826,1766596971.8,1140511.5,9959.0,5481,471595726,20387868.8,971733224.0,78522336.0,6,6180878939,1766021193.5,75445.2,39968.0,5152,1853976,160583.0,cudaLaunchKernel,"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], std::array<char *, (unsigned long)2>, (int)4, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T4, T5, T6, T7)"
1830235,1839482,0,9244,9228,894448711.4,930672350.5,17351,1597323893,453885846.6,450316.2,7228.5,4448,5240666,874144.1,895544147.8,930698683.5,14,1595123437,452078464.2,4307.0,4320.0,3456,56992,1976.9,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 1)]::operator ()() const::[lambda(unsigned char) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1830235,1832319,0,36,36,820636582.0,361333097.5,84784917,6147739847,1506032185.9,1290440.2,1803275.5,4578,2041079,814570.3,817283324.4,357427030.0,82691890,6145432456,1506331147.3,2062817.4,2062439.0,2055415,2071255,4201.2,cudaLaunchKernel,"void at::native::<unnamed>::cunn_SoftMaxBackwardSmem<(int)4, c10::Half, float, float, at::native::<unnamed>::SoftMaxBackwardEpilogue>(T2 *, const T4 *, const T4 *, long)"
1830235,1839482,0,69604,69537,734669746.2,794287746.0,34194,1642209275,461064575.2,803287.5,156754.0,4879,41891802,1227731.0,734569924.0,794072444.0,939,1638023367,459869895.0,3625.8,3456.0,2432,484163,6368.2,cudaLaunchKernel,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(long) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)"
1830235,1839482,0,60360,60360,711884831.1,791989269.0,448614,1650655934,457355269.0,1070345.4,605273.0,3476,23820518,1207413.5,710402207.9,791407051.0,303245,1645513068,456403392.2,412277.8,510865.5,68129,957827,215637.7,cudaLaunchKernel,"void <unnamed>::qvq_v2_segment_grid_finalize_kernel<(int)4, (int)2, (int)16, (bool)0, __half, unsigned char>(const float *, const T5 *, const float *, const long *, const float *, const float *, const T6 *, const unsigned char *, long *, unsigned char *, float *, int, int, bool, bool)"
1830235,1839482,0,482880,482706,708521291.8,780821421.0,170070,1654164715,456132788.3,532967.9,5230.0,3286,696590940,1437764.9,706580588.6,778733426.0,1150,1645767477,454793125.4,1662348.2,1987479.5,133089,4389646,974827.6,cudaLaunchKernel,"void <unnamed>::qvq_v2_segment_grid_kernel<(int)4, (int)2, (int)16, (bool)1, (bool)0, __half, unsigned char>(const float *, const T6 *, const float *, const long *, const float *, const float *, float *, T7 *, unsigned char *, int, int, int, bool, bool)"
