rate,arm,mean_weight_relative_l2,mean_local_kl,mean_local_relative_l2,mean_local_rmse,mean_live_kl,mean_live_relative_l2,mean_live_rmse,mean_layer_kl,mean_layer_relative_l2,mean_layer_rmse,final_logit_kl_mean,final_logit_kl_p95,final_logit_js_mean,final_logit_relative_l2,final_logit_sqnr_db,final_logit_top1_agreement,final_logit_top5_overlap,optimized_channels,kl_forward_delta_vs_baseline,kl_forward_ci95_low,kl_forward_ci95_high,kl_forward_prompt_wins,jensen_shannon_delta_vs_baseline,jensen_shannon_ci95_low,jensen_shannon_ci95_high,jensen_shannon_prompt_wins,top1_delta_vs_baseline,top1_ci95_low,top1_ci95_high,top1_prompt_wins,top5_overlap_delta_vs_baseline,top5_overlap_ci95_low,top5_overlap_ci95_high,top5_overlap_prompt_wins
w1,baseline,0.6475764741311967,0.04992767716092723,0.22935760744410244,0.09009732811578683,0.1678689744190446,0.3590719463888501,0.13973220527571226,0.3302795737981796,0.20104634954021883,0.13583450391888618,0.8168732523918152,3.1024022102355957,0.09875523298978806,0.7061474508867231,3.022092086040828,0.8653783202171326,0.7073043584823608,0,,,,,,,,,,,,,,,,
w1,alpha-full,0.649386233382374,0.04699245351366699,0.2237521748586058,0.08140107776437487,0.15948783845773765,0.3458953615538336,0.1240361053163984,0.2711813449859619,0.15032600796470116,0.06202355772256851,0.9048104882240295,3.431429862976074,0.10521210730075836,0.6919844583927977,3.1980731891898135,0.8612839579582214,0.7070422768592834,44157,0.087937257869995,0.07794304759562933,0.09844572578399992,1,0.006456877331363179,0.005734998627311189,0.007202832149179105,2,-0.004094333442515558,-0.006426126327067335,-0.0017959110382644733,8,-0.0002620372929769854,-0.002037136672053385,0.0015346939693908301,61
w1,alpha-half,0.647940133605104,0.04747167758510581,0.22542817961235267,0.08400735082770032,0.16125548727411246,0.3506194840513892,0.12981400625514133,0.294467955827713,0.17484653775581932,0.09716911613941193,0.8615629076957703,3.279062509536743,0.1020430251955986,0.696478217689386,3.1418492311817086,0.8629217147827148,0.7076318860054016,45024,0.04468970286292159,0.03947922340950534,0.0501399685708205,1,0.0032878022403777774,0.0028904957066349496,0.003694384241728558,2,-0.002456600065509335,-0.00443424386169325,-0.000491320013101867,7,0.0003275466876033092,-0.0011071312018357477,0.0018229166358651127,59
w1.5,baseline,0.4681175985168163,0.01983383549044707,0.15249839811343155,0.055345632268914154,0.07754258399030992,0.23850114619743215,0.08703915981043663,0.12579591944813728,0.10323573156348097,0.06393770314753056,0.29211896657943726,1.0275256633758545,0.0479796901345253,0.498926560824178,6.039267507412969,0.8932197690010071,0.7801507711410522,0,,,,,,,,,,,,,,,,
w1.5,alpha-full,0.468282217751092,0.019402757353548492,0.15139240636853307,0.05371077252285821,0.07640970712860248,0.23381047863599586,0.08204779218483184,0.12196682393550873,0.08081257986449568,0.03654169570654631,0.29751962423324585,1.0338540077209473,0.048389844596385956,0.4951813134880886,6.104715050442628,0.8925647139549255,0.7824763655662537,44040,0.005400687956888181,0.004321404694572005,0.006514621763991586,24,0.0004101536467085984,0.00027571101884385534,0.0005496055103451221,40,-0.0006550933508024893,-0.002455795677799607,0.0011530273151561547,10,0.002325581342147836,0.0011238881096299457,0.00349446227681181,70
w1.5,alpha-half,0.46805052134205266,0.019476378719056293,0.15173289346957874,0.05423647734070463,0.07673328965237099,0.23576415296093556,0.08411332409429763,0.12343260645866394,0.09139529900792485,0.04904148541390896,0.29478344321250916,1.0259170532226562,0.048164643347263336,0.496489099256305,6.081805645680378,0.8925647139549255,0.7814609408378601,44915,0.0026644817591095628,0.0021067716662094165,0.003240575292837154,24,0.0001849538981703163,0.00011534396762632394,0.00025836145324585093,44,-0.0006550933508024893,-0.002135699030721209,0.0008267195767195767,7,0.0013101867064858046,0.00045714286121786857,0.002161454025851796,60
