arm,bits,sym,seconds,mean_weight_relative_l2,mean_weight_rmse,mean_weight_sqnr_db,mean_local_kl,mean_live_kl,mean_layer_kl,final_logit_kl_mean,final_logit_kl_p95,final_logit_kl_p99,final_logit_kl_max,final_logit_reverse_kl_mean,final_logit_js_mean,final_logit_rmse,final_logit_relative_l2,final_logit_sqnr_db,final_logit_cosine,final_logit_top1_agreement,final_logit_top5_overlap_mean
w2-symmetric,2,True,106.37746625003638,0.4084440461847638,0.00867081607326067,7.7835471055820245,0.12309499058340277,8.792973400359708,31.643362745642662,6.568685531616211,12.039603233337402,14.845030784606934,16.808700561523438,5.079251289367676,0.520404040813446,2.7612454891204834,1.4091398879679173,-2.9790821695957916,0.007530671927700667,0.0833333358168602,0.06666667014360428
w2-asymmetric-adjacent,2,False,178.43423250003252,0.3895589909721665,0.008242523447344345,8.193993601810886,0.07595043888847743,0.28679307576801094,1.0333095714449883,1.0928497314453125,2.104713201522827,2.7862071990966797,3.024388074874878,1.068670630455017,0.19873957335948944,1.598681926727295,0.8158515910100261,1.7677767040231374,0.6745268995141505,0.5625,0.47083333134651184
w3-symmetric,3,True,128.74611008394277,0.21504061278102324,0.004553875453504068,13.359155497878287,0.0254717937953371,0.0989591720613784,0.25595275685191154,0.34119853377342224,0.6212087869644165,0.7561649680137634,0.8465526700019836,0.33967745304107666,0.07570511102676392,0.9394878149032593,0.4794466190761417,6.385194790980284,0.886193270632101,0.6458333134651184,0.6166666746139526
w3-asymmetric-adjacent,3,False,130.786712250032,0.20337847344735407,0.004291863488366029,13.84185179899849,0.02092764836769285,0.08527340108828087,0.25102631002664566,0.2807251513004303,0.572769284248352,0.7135271430015564,0.8047987222671509,0.27951744198799133,0.06345047801733017,0.8620943427085876,0.4399505603763029,7.13192249582807,0.9042931273567776,0.6666666865348816,0.6833333969116211
w4-symmetric,4,True,147.04855304094963,0.11320441371914758,0.0023837621307133566,18.937535423681048,0.005995419880491681,0.023142183261890232,0.032117224764078856,0.09039205312728882,0.185491681098938,0.2040107399225235,0.21518027782440186,0.09004238992929459,0.02179955691099167,0.47601357102394104,0.2429228661582344,12.290632068743292,0.9706565185439395,0.7291666865348816,0.8041666150093079
w4-asymmetric-adjacent,4,False,147.1109314589994,0.10491106487622177,0.0022027490818540434,19.59825697048307,0.0046421001503144255,0.020741393490295326,0.025360771920531988,0.07582627981901169,0.1434965580701828,0.1675407439470291,0.17419686913490295,0.07638020068407059,0.01846141368150711,0.4406984746456146,0.22490060694350675,12.960187450481653,0.9748284230043667,0.7083333134651184,0.8333333134651184
w5-symmetric,5,True,151.16218195902184,0.05865686922236062,0.001227793235947112,24.679542799619774,0.001605986350893675,0.006623553211414089,0.008739884360693395,0.028337085619568825,0.05955428257584572,0.07504672557115555,0.08713097125291824,0.027661219239234924,0.006927214562892914,0.25179216265678406,0.12849649740588368,17.822174205880028,0.9917589072169211,0.8958333134651184,0.9041666388511658
w5-asymmetric-adjacent,5,False,150.8944280000287,0.05349558624731759,0.0011169755494587921,25.49202922912976,0.0011769820240650525,0.00573706277490211,0.008673879317939281,0.023386778309941292,0.04223914071917534,0.06285232305526733,0.07549983263015747,0.02313852310180664,0.005761662032455206,0.237060546875,0.12097854774443816,18.34583266345423,0.9926943844678574,0.9583333134651184,0.8999999165534973
w6-symmetric,6,True,156.4810278750374,0.03045900543755645,0.0006323317606334708,30.4862793110714,0.0006840456819970443,0.0025448745886283825,0.003463685919996351,0.008925593458116055,0.023459263145923615,0.037876758724451065,0.046962372958660126,0.008694825693964958,0.0021921584848314524,0.13949978351593018,0.07119059493879606,22.951547553099676,0.9974710173341388,0.9583333134651184,0.9458333849906921
w6-asymmetric-adjacent,6,False,155.3260090840049,0.027711762607195666,0.0005738927523322802,31.35701052776983,0.0003443165598712637,0.0015594068506418677,0.002090946218231693,0.007626080885529518,0.0152071388438344,0.036492664366960526,0.05444912239909172,0.007405581418424845,0.0018705719849094748,0.12785987555980682,0.06525042722467791,23.708332809077078,0.9978734481103704,0.8125,0.9166666865348816
w7-symmetric,7,True,159.59356924996246,0.01593922438313664,0.00032809352550040264,36.336126270910505,0.00012856561806984246,0.0006290341653506662,0.001515012263553217,0.0026369644328951836,0.005460862535983324,0.009264898486435413,0.011235821060836315,0.0026037786155939102,0.0006542950286529958,0.07688361406326294,0.039235833059174226,28.126342439450255,0.9992316999030579,0.9375,0.9458333849906921
w7-asymmetric-adjacent,7,False,157.5829959580442,0.014587227490470325,0.00029923687231660424,37.217823286708835,0.00010407409386711411,0.00046827974733787414,0.0008065969377639703,0.002055893652141094,0.0038658366538584232,0.006190356332808733,0.007178501226007938,0.002039845334365964,0.0005115229287184775,0.07095115631818771,0.0362083341688417,28.82382910483163,0.9993455809784554,0.9166666865348816,0.9500000476837158
w8-symmetric,8,True,159.0895058750175,0.008426363395651155,0.00017192486432447498,42.18591420508484,4.868368308409897e-05,0.00022956918124756548,0.00031220448727253824,0.0009011594229377806,0.0023512858897447586,0.0036682127974927425,0.004474285989999771,0.0008969041518867016,0.00022467458620667458,0.04289302974939346,0.021889498715743704,33.195283679083715,0.9997605517791471,0.9791666865348816,0.9666666984558105
w8-asymmetric-adjacent,8,False,155.73342533299,0.007748259058540119,0.00015732018320185098,43.08248009387903,3.566407741167106e-05,0.00016829253439709646,0.00018942226779472549,0.0007284944877028465,0.0019623995758593082,0.0023712115362286568,0.00237924512475729,0.0007263615843839943,0.000181797135155648,0.04160230979323387,0.02123080844714929,33.46066936072061,0.9997746501079083,0.9791666865348816,0.9833333492279053
