arm,method,bits,sym,seconds,mean_weight_relative_l2,mean_weight_mae,mean_weight_rmse,mean_weight_sqnr_db,mean_weight_cosine,mean_local_kl,mean_local_top1_agreement,mean_local_top5_overlap,mean_live_kl,mean_live_top1_agreement,mean_live_top5_overlap,mean_layer_kl,mean_layer_top1_agreement,mean_layer_top5_overlap,final_logit_kl_mean,final_logit_kl_p95,final_logit_kl_p99,final_logit_kl_max,final_logit_reverse_kl_mean,final_logit_js_mean,final_logit_dense_entropy_mean,final_logit_cross_entropy_mean,final_logit_rmse,final_logit_relative_l2,final_logit_sqnr_db,final_logit_cosine,final_logit_top1_agreement,final_logit_top5_overlap_mean,final_logit_top5_exact_agreement,final_logit_dense_top1_in_quantized_top5,final_logit_quantized_top1_in_dense_top5
w8-symmetric,gptq,8,True,88.50897431373596,0.008903182654365934,0.00012241773245997529,0.0001838440756338449,42.000121851641545,0.9999404594310198,4.5497423928152004e-05,0.998376624924796,0.9961038955620357,0.00010565558662684842,0.9967532455921173,0.9918830948216575,0.00019213576888432726,0.9886363744735718,1.0,0.00029228333733044565,0.001060796552337706,0.0027302990201860666,0.003748830407857895,0.0002953572547994554,7.341134187299758e-05,3.1971960067749023,3.197488307952881,0.04037421569228172,0.019741819970202294,34.092256256648916,0.999805489796362,1.0,0.9772727489471436,0.8863636255264282,1.0,1.0
w8-asymmetric-adjacent,gptq,8,False,84.11186923645437,0.00828467969902948,0.00011154187008547265,0.0001696767454372353,42.86496855380455,0.9999427655215587,4.195565300538614e-05,1.0,0.9948051827294486,7.147006595330043e-05,1.0,0.9931818076542446,8.222450014727656e-05,1.0,0.9977272748947144,0.00022661304683424532,0.0009540471946820617,0.0014587613986805081,0.0018216408789157867,0.00022717377578373998,5.670686732628383e-05,3.1971960067749023,3.197422742843628,0.039032164961099625,0.019085593986299103,34.38588638581165,0.9998183330197153,1.0,0.9954545497894287,0.9772727489471436,1.0,1.0
w8-qvq-pgc16,qvq,8,True,319.2967136548832,0.009165108624474701,0.00015704514641713883,0.0002033156316818869,40.81984923726531,0.9999573777560788,6.7582099875705485e-06,1.0,0.9980519499097552,3.2738264893948455e-05,0.9967532498495919,0.9961038913045611,3.930166803911561e-05,1.0,0.9977272748947144,4.040384737891145e-05,0.00016276630049105734,0.000245939998421818,0.00025271251797676086,4.040625935886055e-05,1.0095140169141814e-05,3.1971960067749023,3.1972365379333496,0.019015781581401825,0.009298165065601327,40.63205496550326,0.9999567730207313,1.0,0.9954545497894287,0.9772727489471436,1.0,1.0
