bits,codebook,seconds,fit_iterations,fit_error_initial,fit_error_final,mean_weight_relative_l2,mean_local_kl,mean_live_kl,mean_layer_kl,final_logit_kl,final_logit_js,final_logit_rmse,final_logit_relative_l2,final_logit_top1,final_logit_top5
2,pgc16-v1,89.42636334616691,6,1263.2833251953125,1256.63916015625,0.33675378480394447,0.010969723391878818,0.036539029413168986,0.09550719521939754,0.10496623069047928,0.021897627040743828,0.7256174087524414,0.3548058358669606,1.0,0.8636363744735718
2,pgc16-v2,95.48165750689805,7,1263.2833251953125,1256.6552734375,0.3367237801408333,0.010835412864772869,0.04255721817857453,0.0643614623695612,0.06053018942475319,0.013271424919366837,0.7046108245849609,0.3445342390816095,1.0,0.8954545855522156
3,pgc16-v1,108.45027249772102,7,273.06622314453125,270.4324645996094,0.1732872775934113,0.00255656562720625,0.010702792950074322,0.011088978499174118,0.01564769260585308,0.0036368726287037134,0.37094172835350037,0.1813797439335709,1.0,0.9409091472625732
3,pgc16-v2,112.08110598567873,7,273.06622314453125,270.4324951171875,0.17304219639664842,0.0025845353936477166,0.00866194987819264,0.013463231734931469,0.016309641301631927,0.003896899288520217,0.3751193881034851,0.18342247641397944,1.0,0.918181836605072
4,pgc16-v1,106.3011859068647,8,62.51364517211914,61.62016296386719,0.09046437000031846,0.0006917026948940475,0.0031231068190079115,0.0039756918558850884,0.003754241159185767,0.0009306910797022283,0.192320317029953,0.09403905144837932,1.0,0.9727272391319275
4,pgc16-v2,110.66030442807823,8,62.51364517211914,61.636417388916016,0.0902380435616583,0.0006951323682317577,0.002432903933887636,0.004899465595372021,0.004148881882429123,0.0010257554240524769,0.18918582797050476,0.09250637314206603,1.0,0.9545454382896423
5,pgc16-v1,89.77458359953016,8,15.579912185668945,15.119241714477539,0.0486874766773755,0.00019811912001646955,0.0007010427380009787,0.0013670863991137594,0.0012040258152410388,0.0003016241535078734,0.10557816177606583,0.05162465149751803,1.0,0.9863635897636414
5,pgc16-v2,84.26505717076361,8,15.579914093017578,15.119260787963867,0.04845149037103075,0.00019575704910883878,0.000745646017873826,0.0018639345362316817,0.000861370877828449,0.00021572093828581274,0.1044708788394928,0.051083222377170036,1.0,0.9909090399742126
6,pgc16-v1,103.4891505567357,8,3.677672863006592,3.628649950027466,0.027453981607551387,6.227916086183021e-05,0.00025912579326359264,0.0002549202472437173,0.0003597481409087777,8.981338032754138e-05,0.059076569974422455,0.028886726175784947,1.0,0.9909090399742126
6,pgc16-v2,100.95497533585876,8,3.6776859760284424,3.627056121826172,0.027375426671961668,6.333204877202141e-05,0.000356865632966219,0.00030441067065112293,0.00042085646418854594,0.00010480913624633104,0.05753080174326897,0.028130891512532504,1.0,0.9954545497894287
7,pgc16-v1,90.43238333147019,8,1.1815648078918457,1.1712660789489746,0.015484530438655593,1.9719902866199845e-05,6.638839246469226e-05,0.0001285925227421103,0.00011399455979699269,2.8438233130145818e-05,0.03189433366060257,0.015595402038617477,1.0,1.0
7,pgc16-v2,85.7254577530548,8,1.181565523147583,1.1714282035827637,0.015468707987826406,1.97402671834165e-05,7.557638314535455e-05,0.0001242671933141537,0.00011768857802962884,2.9425469620036893e-05,0.03267727419734001,0.0159782384701703,1.0,0.9954545497894287
8,pgc16-v1,71.47116291616112,8,0.4275493919849396,0.4258763790130615,0.009165108624474701,6.7582099875705485e-06,3.2738264893948455e-05,3.930166803911561e-05,4.040384737891145e-05,1.0095140169141814e-05,0.019015781581401825,0.009298165065601327,1.0,0.9954545497894287
8,pgc16-v2,66.43914983794093,8,0.42754948139190674,0.4258590638637543,0.009184113932267896,6.633402006985177e-06,3.186548936387875e-05,4.287849242246011e-05,3.1107945687836036e-05,7.775392987241503e-06,0.01887255162000656,0.009228129863569069,1.0,1.0
