arm,method,bits,sym,seconds,mean_weight_relative_l2,mean_weight_mae,mean_weight_rmse,mean_weight_sqnr_db,mean_weight_cosine,mean_local_kl,mean_local_top1_agreement,mean_local_top5_overlap,mean_live_kl,mean_live_top1_agreement,mean_live_top5_overlap,mean_layer_kl,mean_layer_top1_agreement,mean_layer_top5_overlap,final_logit_kl_mean,final_logit_kl_p95,final_logit_kl_p99,final_logit_kl_max,final_logit_reverse_kl_mean,final_logit_js_mean,final_logit_dense_entropy_mean,final_logit_cross_entropy_mean,final_logit_rmse,final_logit_relative_l2,final_logit_sqnr_db,final_logit_cosine,final_logit_top1_agreement,final_logit_top5_overlap_mean,final_logit_top5_exact_agreement,final_logit_dense_top1_in_quantized_top5,final_logit_quantized_top1_in_dense_top5
w6-symmetric,gptq,6,True,86.08758706133813,0.03052281108004911,0.0004802046771926273,0.0006485054847351941,30.48038532997571,0.9995085918969784,0.0008514803090032988,0.9756493525845664,0.984740253005709,0.0016568729287038358,0.9610389641353062,0.9737012599195752,0.0024058122071437538,0.9772727489471436,0.9909090399742126,0.006067867856472731,0.010485751554369926,0.11164406687021255,0.18641945719718933,0.0069540380500257015,0.0015810609329491854,3.1971960067749023,3.203263759613037,0.11210096627473831,0.05481411364614774,25.22215208233501,0.9984983722651875,1.0,0.949999988079071,0.7727272510528564,1.0,1.0
w6-asymmetric-adjacent,gptq,6,False,92.22204506210983,0.027922624235282516,0.00044168749653701004,0.0005905749795991662,31.319553591980927,0.9995778624892926,0.0003129810273614047,0.9935064996991839,0.9873376531260354,0.0009348086420816669,0.9870129908834185,0.9737012726919991,0.0011357105686329305,0.9886363744735718,0.9886363744735718,0.0018354528583586216,0.009962552227079868,0.014422700740396976,0.016142727807164192,0.0018486302578821778,0.00045951016363687813,3.1971960067749023,3.1990318298339844,0.10408289730548859,0.05089351211075518,25.86675155722846,0.9987061563445412,1.0,0.9590909481048584,0.8181818127632141,1.0,1.0
w6-qvq-pgc16,qvq,6,True,351.3716826150194,0.027453981607551387,0.0004602258081182039,0.0005952263454673812,31.256386391578523,0.9996209476994303,6.227916086183021e-05,0.9951298747743879,0.9938311491693769,0.00025912579326359264,0.9902597410338265,0.9879869861262185,0.0002549202472437173,1.0,0.9863635897636414,0.0003597481409087777,0.0010890582343563437,0.002542632631957531,0.003281964920461178,0.00035903099342249334,8.981338032754138e-05,3.1971960067749023,3.1975555419921875,0.059076569974422455,0.028886726175784947,30.786033506734643,0.9995832485198852,1.0,0.9909090399742126,0.9772727489471436,1.0,1.0
