ordinal,bytes,duration_us,copy_graph_node_id,previous_kernel,previous_graph_node_id,gap_after_previous_us,next_kernel,next_graph_node_id,gap_before_next_us
46,268435456,253.312,6755983557318,loop_dynamic_update_slice_fusi_15...,6755983557317,0.032,input_concatenate_fusion_978,6755983557319,0.416
47,268435456,242.112,6755983557408,loop_dynamic_update_slice_fusi_16...,6755983557407,0.096,input_concatenate_fusion_978,6755983557409,0.416
48,268435456,252.768,6755983557429,loop_dynamic_update_slice_fusi_17...,6755983557428,0.064,input_concatenate_fusion_978,6755983557430,0.416
49,268435456,242.720,6755983557519,loop_dynamic_update_slice_fusi_18...,6755983557518,0.032,input_concatenate_fusion_978,6755983557520,0.416
50,268435456,253.696,6755983557540,loop_dynamic_update_slice_fusi_19...,6755983557539,0.064,input_concatenate_fusion_978,6755983557541,0.288
51,268435456,242.656,6755983557630,loop_dynamic_update_slice_fusi_20...,6755983557629,0.032,input_concatenate_fusion_978,6755983557631,0.416
52,268435456,253.088,6755983557651,loop_dynamic_update_slice_fusi_21...,6755983557650,0.064,input_concatenate_fusion_978,6755983557652,0.416
53,268435456,241.152,6755983557741,loop_dynamic_update_slice_fusi_22...,6755983557740,0.032,input_concatenate_fusion_978,6755983557742,0.416
54,268435456,252.961,6755983557762,loop_dynamic_update_slice_fusi_23...,6755983557761,0.032,input_concatenate_fusion_978,6755983557763,0.416
55,268435456,241.856,6755983557852,loop_dynamic_update_slice_fusi_24...,6755983557851,0.064,input_concatenate_fusion_978,6755983557853,0.416
56,268435456,253.152,6755983557873,loop_dynamic_update_slice_fusi_25...,6755983557872,0.032,input_concatenate_fusion_978,6755983557874,0.608
57,268435456,242.272,6755983557963,loop_dynamic_update_slice_fusi_26...,6755983557962,0.096,input_concatenate_fusion_978,6755983557964,0.416
58,268435456,253.056,6755983557984,loop_dynamic_update_slice_fusi_27...,6755983557983,0.064,input_concatenate_fusion_978,6755983557985,0.448
59,268435456,241.728,6755983558074,loop_dynamic_update_slice_fusi_28...,6755983558073,0.064,input_concatenate_fusion_978,6755983558075,0.448
60,268435456,253.600,6755983558095,loop_dynamic_update_slice_fusi_29...,6755983558094,0.064,input_concatenate_fusion_978,6755983558096,0.416
61,268435456,241.600,6755983558185,loop_dynamic_update_slice_fusi_30...,6755983558184,0.064,input_concatenate_fusion_978,6755983558186,0.480
62,268435456,252.960,6755983558206,loop_dynamic_update_slice_fusi_31...,6755983558205,0.064,input_concatenate_fusion_978,6755983558207,0.416
63,268435456,240.577,6755983558296,loop_dynamic_update_slice_fusi_32...,6755983558295,0.064,input_concatenate_fusion_978,6755983558297,0.416
64,268435456,253.312,6755983558317,loop_dynamic_update_slice_fusi_33...,6755983558316,0.032,input_concatenate_fusion_978,6755983558318,0.416
