target,source_line,opcode,executed_warp_instructions,runtime_base_address,mapped_instruction_addresses,unmapped_instruction_addresses
p32-main,839,BSSY,4080,0x7a68aa02bc00,1728,72
p32-main,897,IADD3,4080,0x7a68aa02bc00,1728,72
p32-main,865,IMAD,2072,0x7a68aa02bc00,1728,72
p32-main,863,IMAD,2064,0x7a68aa02bc00,1728,72
p32-main,863,ISETP,2056,0x7a68aa02bc00,1728,72
p32-main,865,SHF,2056,0x7a68aa02bc00,1728,72
p32-main,863,BSSY,2048,0x7a68aa02bc00,1728,72
p32-main,862,IMAD,2048,0x7a68aa02bc00,1728,72
p32-main,868,STS,2048,0x7a68aa02bc00,1728,72
p32-main,201,LDGSTS,2048,0x7a68aa02bc00,1728,72
p32-main,989,BSSY,2048,0x7a68aa02bc00,1728,72
p32-main,989,PRMT,2048,0x7a68aa02bc00,1728,72
p32-main,989,BRA,2048,0x7a68aa02bc00,1728,72
p32-main,991,LDG,2048,0x7a68aa02bc00,1728,72
p32-main,991,BSYNC,2048,0x7a68aa02bc00,1728,72
p32-main,988,STS,2048,0x7a68aa02bc00,1728,72
p32-main,868,BRA,2040,0x7a68aa02bc00,1728,72
p32-main,857,USHF,2040,0x7a68aa02bc00,1728,72
p32-main,829,BSSY,2040,0x7a68aa02bc00,1728,72
p32-main,857,ULOP3,2040,0x7a68aa02bc00,1728,72
p32-main,857,ISETP,2040,0x7a68aa02bc00,1728,72
p32-main,857,IMAD,2040,0x7a68aa02bc00,1728,72
p32-main,857,IADD3,2040,0x7a68aa02bc00,1728,72
p32-main,868,IMAD,2040,0x7a68aa02bc00,1728,72
p32-main,982,IADD3,2040,0x7a68aa02bc00,1728,72
p32-main,990,SHF,2040,0x7a68aa02bc00,1728,72
p32-main,988,USHF,2040,0x7a68aa02bc00,1728,72
p32-main,988,ULOP3,2040,0x7a68aa02bc00,1728,72
p32-main,1005,SHF,448,0x7a68aa02bc00,1728,72
p32-main,1005,IMAD,416,0x7a68aa02bc00,1728,72
p32-main,1005,LEA,416,0x7a68aa02bc00,1728,72
p32-main,844,IMAD,352,0x7a68aa02bc00,1728,72
p32-main,1005,LOP3,320,0x7a68aa02bc00,1728,72
p32-main,1005,SEL,256,0x7a68aa02bc00,1728,72
p32-main,845,IMAD,192,0x7a68aa02bc00,1728,72
p32-main,850,IMAD,192,0x7a68aa02bc00,1728,72
p32-main,849,BRA,160,0x7a68aa02bc00,1728,72
p32-main,849,IADD3,160,0x7a68aa02bc00,1728,72
p32-main,844,ISETP,128,0x7a68aa02bc00,1728,72
p32-main,849,ISETP,128,0x7a68aa02bc00,1728,72
p32-main,893,ISETP,128,0x7a68aa02bc00,1728,72
p32-main,844,IADD3,96,0x7a68aa02bc00,1728,72
p32-main,845,ISETP,96,0x7a68aa02bc00,1728,72
