target,kernel,block,grid,metric,value,unit
p32-main,"void <unnamed>::p32_window_ampere_m1_kernel<6, 1, 128, 16, 2, 0, 0, 0, 1>(const __half *, const unsigned int *, const __half *, const unsigned char *, float *, float *, int, int, int, const unsigned char *)","(128, 1, 1)","(8, 1, 1)",sm__warps_active.avg.pct_of_peak_sustained_active,6.249955,%
p32-main,"void <unnamed>::p32_window_ampere_m1_kernel<6, 1, 128, 16, 2, 0, 0, 0, 1>(const __half *, const unsigned int *, const __half *, const unsigned char *, float *, float *, int, int, int, const unsigned char *)","(128, 1, 1)","(8, 1, 1)",smsp__warps_eligible.avg.per_cycle_active,0.341614,warp
p32-main,"void <unnamed>::p32_window_ampere_m1_kernel<6, 1, 128, 16, 2, 0, 0, 0, 1>(const __half *, const unsigned int *, const __half *, const unsigned char *, float *, float *, int, int, int, const unsigned char *)","(128, 1, 1)","(8, 1, 1)",smsp__warps_active.avg.per_cycle_active,1.000000,warp
p32-main,"void <unnamed>::p32_window_ampere_m1_kernel<6, 1, 128, 16, 2, 0, 0, 0, 1>(const __half *, const unsigned int *, const __half *, const unsigned char *, float *, float *, int, int, int, const unsigned char *)","(128, 1, 1)","(8, 1, 1)",smsp__issue_active.avg.per_cycle_active,0.34,
p32-main,"void <unnamed>::p32_window_ampere_m1_kernel<6, 1, 128, 16, 2, 0, 0, 0, 1>(const __half *, const unsigned int *, const __half *, const unsigned char *, float *, float *, int, int, int, const unsigned char *)","(128, 1, 1)","(8, 1, 1)",smsp__average_warp_latency_per_inst_issued.ratio,2.927285,cycle
p32-main,"void <unnamed>::p32_window_ampere_m1_kernel<6, 1, 128, 16, 2, 0, 0, 0, 1>(const __half *, const unsigned int *, const __half *, const unsigned char *, float *, float *, int, int, int, const unsigned char *)","(128, 1, 1)","(8, 1, 1)",derived__local_spilling_requests,0,
p32-main,"void <unnamed>::p32_window_ampere_m1_kernel<6, 1, 128, 16, 2, 0, 0, 0, 1>(const __half *, const unsigned int *, const __half *, const unsigned char *, float *, float *, int, int, int, const unsigned char *)","(128, 1, 1)","(8, 1, 1)",derived__shared_spilling_requests,0,
p32-minor,"void <unnamed>::p32_window_ampere_m1_kernel<5, 1, 128, 16, 2, 512, 32, 2048, 0>(const __half *, const unsigned int *, const __half *, const unsigned char *, float *, float *, int, int, int, const unsigned char *)","(128, 1, 1)","(2, 1, 32)",gpu__time_duration.sum,10.016000,us
p32-minor,"void <unnamed>::p32_window_ampere_m1_kernel<5, 1, 128, 16, 2, 512, 32, 2048, 0>(const __half *, const unsigned int *, const __half *, const unsigned char *, float *, float *, int, int, int, const unsigned char *)","(128, 1, 1)","(2, 1, 32)",gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,9.529987,%
p32-minor,"void <unnamed>::p32_window_ampere_m1_kernel<5, 1, 128, 16, 2, 512, 32, 2048, 0>(const __half *, const unsigned int *, const __half *, const unsigned char *, float *, float *, int, int, int, const unsigned char *)","(128, 1, 1)","(2, 1, 32)",gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,0.000525,%
p32-minor,"void <unnamed>::p32_window_ampere_m1_kernel<5, 1, 128, 16, 2, 512, 32, 2048, 0>(const __half *, const unsigned int *, const __half *, const unsigned char *, float *, float *, int, int, int, const unsigned char *)","(128, 1, 1)","(2, 1, 32)",dram__bytes.sum.per_second,12.779553,Mbyte/s
p32-minor,"void <unnamed>::p32_window_ampere_m1_kernel<5, 1, 128, 16, 2, 512, 32, 2048, 0>(const __half *, const unsigned int *, const __half *, const unsigned char *, float *, float *, int, int, int, const unsigned char *)","(128, 1, 1)","(2, 1, 32)",lts__throughput.avg.pct_of_peak_sustained_elapsed,0.853678,%
p32-minor,"void <unnamed>::p32_window_ampere_m1_kernel<5, 1, 128, 16, 2, 512, 32, 2048, 0>(const __half *, const unsigned int *, const __half *, const unsigned char *, float *, float *, int, int, int, const unsigned char *)","(128, 1, 1)","(2, 1, 32)",sm__throughput.avg.pct_of_peak_sustained_elapsed,9.227760,%
p32-minor,"void <unnamed>::p32_window_ampere_m1_kernel<5, 1, 128, 16, 2, 512, 32, 2048, 0>(const __half *, const unsigned int *, const __half *, const unsigned char *, float *, float *, int, int, int, const unsigned char *)","(128, 1, 1)","(2, 1, 32)",launch__registers_per_thread,64,register/thread
p32-minor,"void <unnamed>::p32_window_ampere_m1_kernel<5, 1, 128, 16, 2, 512, 32, 2048, 0>(const __half *, const unsigned int *, const __half *, const unsigned char *, float *, float *, int, int, int, const unsigned char *)","(128, 1, 1)","(2, 1, 32)",launch__shared_mem_per_block_static,5.312000,Kbyte/block
p32-minor,"void <unnamed>::p32_window_ampere_m1_kernel<5, 1, 128, 16, 2, 512, 32, 2048, 0>(const __half *, const unsigned int *, const __half *, const unsigned char *, float *, float *, int, int, int, const unsigned char *)","(128, 1, 1)","(2, 1, 32)",launch__shared_mem_per_block_dynamic,0,byte/block
p32-minor,"void <unnamed>::p32_window_ampere_m1_kernel<5, 1, 128, 16, 2, 512, 32, 2048, 0>(const __half *, const unsigned int *, const __half *, const unsigned char *, float *, float *, int, int, int, const unsigned char *)","(128, 1, 1)","(2, 1, 32)",launch__waves_per_multiprocessor,0.06,
p32-minor,"void <unnamed>::p32_window_ampere_m1_kernel<5, 1, 128, 16, 2, 512, 32, 2048, 0>(const __half *, const unsigned int *, const __half *, const unsigned char *, float *, float *, int, int, int, const unsigned char *)","(128, 1, 1)","(2, 1, 32)",sm__warps_active.avg.pct_of_peak_sustained_active,6.246786,%
p32-minor,"void <unnamed>::p32_window_ampere_m1_kernel<5, 1, 128, 16, 2, 512, 32, 2048, 0>(const __half *, const unsigned int *, const __half *, const unsigned char *, float *, float *, int, int, int, const unsigned char *)","(128, 1, 1)","(2, 1, 32)",smsp__warps_eligible.avg.per_cycle_active,0.223202,warp
