==PROF== Connected to process 368308 (/root/python-gil0/cpython-3.14.7+freethreaded-linux-x86_64-gnu/bin/python3.14t)
==PROF== Connected to process 368674 (/root/python-gil0/cpython-3.14.7+freethreaded-linux-x86_64-gnu/bin/python3.14t)
==PROF== Disconnected from process 368674
==PROF== Disconnected from process 368308
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","368308","python3.14t","127.0.0.1","_gemm","1","7","(128, 1, 1)","(1, 32, 1)","0","8.0","SpeedOfLight","","","","SOLBottleneck","OPT","This kernel grid is too small to fill the available resources on this device, resulting in only 0.06 full waves across all SMs. Look at Launch Statistics for more details.","",""
"0","368308","python3.14t","127.0.0.1","_gemm","1","7","(128, 1, 1)","(1, 32, 1)","0","8.0","Compute Workload Analysis","Executed Ipc Active","inst/cycle","0.86",
"0","368308","python3.14t","127.0.0.1","_gemm","1","7","(128, 1, 1)","(1, 32, 1)","0","8.0","Compute Workload Analysis","Executed Ipc Elapsed","inst/cycle","0.22",
"0","368308","python3.14t","127.0.0.1","_gemm","1","7","(128, 1, 1)","(1, 32, 1)","0","8.0","Compute Workload Analysis","Issue Slots Busy","%","5.49",
"0","368308","python3.14t","127.0.0.1","_gemm","1","7","(128, 1, 1)","(1, 32, 1)","0","8.0","Compute Workload Analysis","Issued Ipc Active","inst/cycle","0.86",
"0","368308","python3.14t","127.0.0.1","_gemm","1","7","(128, 1, 1)","(1, 32, 1)","0","8.0","Compute Workload Analysis","SM Busy","%","5.89",
"0","368308","python3.14t","127.0.0.1","_gemm","1","7","(128, 1, 1)","(1, 32, 1)","0","8.0","ComputeWorkloadAnalysis","","","","HighPipeUtilization","OPT","All compute pipelines are under-utilized. Either this workload is very small or it doesn't issue enough warps per scheduler. Check the Launch Statistics and Scheduler Statistics sections for further details.","local","94.11"
"0","368308","python3.14t","127.0.0.1","_gemm","1","7","(128, 1, 1)","(1, 32, 1)","0","8.0","Memory Workload Analysis","Local Memory Spilling Requests","","0",
"0","368308","python3.14t","127.0.0.1","_gemm","1","7","(128, 1, 1)","(1, 32, 1)","0","8.0","Memory Workload Analysis","Local Memory Spilling Request Overhead","%","0",
"0","368308","python3.14t","127.0.0.1","_gemm","1","7","(128, 1, 1)","(1, 32, 1)","0","8.0","Memory Workload Analysis","L2 Sector Promotion Misses","%","33.19",
"0","368308","python3.14t","127.0.0.1","_gemm","1","7","(128, 1, 1)","(1, 32, 1)","0","8.0","Memory Workload Analysis","Shared Memory Spilling Requests","","0",
"0","368308","python3.14t","127.0.0.1","_gemm","1","7","(128, 1, 1)","(1, 32, 1)","0","8.0","Memory Workload Analysis","Shared Memory Spilling Request Overhead","%","0",
"0","368308","python3.14t","127.0.0.1","_gemm","1","7","(128, 1, 1)","(1, 32, 1)","0","8.0","Memory Workload Analysis","Memory Throughput","byte/s","6834715759.66",
"0","368308","python3.14t","127.0.0.1","_gemm","1","7","(128, 1, 1)","(1, 32, 1)","0","8.0","Memory Workload Analysis","Mem Busy","%","5.61",
"0","368308","python3.14t","127.0.0.1","_gemm","1","7","(128, 1, 1)","(1, 32, 1)","0","8.0","Memory Workload Analysis","Max Bandwidth","%","3.05",
"0","368308","python3.14t","127.0.0.1","_gemm","1","7","(128, 1, 1)","(1, 32, 1)","0","8.0","Memory Workload Analysis","L1/TEX Hit Rate","%","98.25",
"0","368308","python3.14t","127.0.0.1","_gemm","1","7","(128, 1, 1)","(1, 32, 1)","0","8.0","Memory Workload Analysis","L2 Persisting Size","byte","9437184",
"0","368308","python3.14t","127.0.0.1","_gemm","1","7","(128, 1, 1)","(1, 32, 1)","0","8.0","Memory Workload Analysis","L2 Compression Success Rate","%","0",
"0","368308","python3.14t","127.0.0.1","_gemm","1","7","(128, 1, 1)","(1, 32, 1)","0","8.0","Memory Workload Analysis","L2 Compression Ratio","","0",
